comment,,ランダムありか,,,,成長情報,20まで1間隔,ばらつき,重み,,,,,,,,,,,,,,,,,,,20からは10間隔,,,,,,,,,,,
id,,random,lower,upper,baseValue,*rates*,0.interval,0.variation,0.weightId,0.list.0,0.list.1,0.list.2,0.list.3,0.list.4,0.list.5,0.list.6,0.list.7,0.list.8,0.list.9,0.list.10,0.list.11,0.list.12,0.list.13,0.list.14,0.list.15,0.list.16,0.list.17,1.interval,1.variation,1.weightId,1.list.0,1.list.1,1.list.2,1.list.3,1.list.4,1.list.5,1.list.6,1.list.7,*rates*
12,姫守り,0,28,29,2,[,1,false,0,1,0,0,1,0,0,3,1,2,3,0,0,0,0,0,2,0,0,10,true,361,7,8,8,24,18,24,26,20,]
13,姫かしこさ,0,28,29,12,[,1,false,0,1,0,1,2,4,4,4,5,6,10,4,2,5,0,11,6,9,10,10,true,361,74,42,43,57,18,14,37,19,]
14,姫運,0,28,29,8,[,1,false,0,0,0,3,1,0,3,0,0,2,2,0,2,0,2,3,3,1,1,10,true,361,21,26,10,15,27,20,138,72,]
15,宮女hp,0,28,29,21,[,1,false,0,2,3,4,2,0,3,7,8,10,1,8,9,10,10,6,10,7,11,10,true,361,48,98,54,50,38,10,10,10,]
16,宮女mp,0,28,29,3,[,1,false,0,1,4,7,6,0,0,7,0,0,4,0,3,1,2,6,6,6,8,10,true,361,47,45,56,66,12,0,0,10,]
17,宮女力,0,28,29,6,[,1,false,0,3,3,0,3,3,0,1,1,1,3,3,3,3,2,2,2,2,1,10,true,361,54,25,40,49,46,14,10,0,]
18,宮女すばやさ,0,28,29,6,[,1,false,0,1,0,5,2,4,2,2,0,3,3,3,5,4,3,4,1,4,6,10,true,361,30,24,31,37,31,49,0,0,]
19,宮女守り,0,28,29,5,[,1,false,0,0,1,0,2,0,2,3,2,0,0,2,0,1,2,1,1,1,0,10,true,361,9,18,21,9,50,30,30,50,]
20,宮女かしこさ,0,28,29,6,[,1,false,0,0,3,1,2,2,4,4,4,6,3,2,2,3,2,4,4,2,4,10,true,361,44,19,34,28,77,0,0,0,]
21,宮女運,0,28,29,4,[,1,false,0,4,0,0,0,1,1,1,1,1,0,0,5,0,0,1,1,1,2,10,true,361,15,16,36,52,10,36,46,106,]
22,盗賊hp,0,28,29,27,[,1,false,0,7,2,9,7,5,8,6,9,7,8,7,6,8,8,9,7,8,12,10,true,361,80,100,60,10,10,7,7,6,]
23,盗賊mp,0,28,29,0,[,1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,true,361,0,0,10,10,10,10,10,0,]
24,盗賊力,0,28,29,8,[,1,false,0,2,2,2,2,2,2,2,2,1,0,3,0,1,2,2,1,2,1,10,true,361,22,29,52,50,20,20,10,10,]
25,盗賊すばやさ,0,28,29,6,[,1,false,0,0,0,0,0,0,0,12,0,1,13,14,14,12,9,12,7,12,7,10,true,361,81,60,40,10,10,10,10,10,]
26,盗賊守り,0,28,29,7,[,1,false,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,10,true,361,5,5,5,5,0,0,10,10,]
27,盗賊かしこさ,0,28,29,3,[,1,false,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,10,true,361,5,5,5,5,10,10,10,20,]
28,盗賊運,0,28,29,21,[,1,false,0,1,1,2,0,0,1,0,1,0,0,1,0,0,1,0,2,0,2,10,true,361,11,11,5,10,30,20,14,16,]
29,魔法使いhp,0,28,29,21,[,1,false,0,2,0,2,1,5,2,0,2,6,7,4,6,6,2,2,7,7,6,10,true,361,123,78,40,11,10,10,10,10,]
30,魔法使いmp,0,28,29,6,[,1,false,0,1,3,0,2,1,2,6,5,1,3,4,6,2,6,5,5,4,7,10,true,361,63,55,34,29,30,20,40,60,]
31,魔法使い力,0,28,29,3,[,1,false,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,10,true,361,7,5,8,8,8,7,6,7,]
32,魔法使いすばやさ,0,28,29,6,[,1,false,0,1,1,2,3,-3,0,2,7,6,5,9,9,10,6,6,8,5,4,10,true,361,23,46,24,34,26,10,25,15,]
33,魔法使い守り,0,28,29,1,[,1,false,0,1,0,2,2,1,2,2,0,1,0,2,0,1,0,1,1,1,0,10,true,361,7,13,6,6,6,14,8,12,]
34,魔法使いかしこさ,0,28,29,14,[,1,false,0,0,0,2,2,4,6,3,6,7,6,4,0,7,1,5,3,5,4,10,true,361,61,72,43,57,18,14,37,19,]
35,魔法使い運,0,28,29,10,[,1,false,0,3,2,1,1,1,2,2,3,3,2,8,2,6,3,3,3,5,5,10,true,361,37,38,48,12,10,10,30,20,]
36,戦士hp,0,28,29,45,[,1,false,0,5,5,5,5,5,5,10,10,25,20,20,20,20,12,8,8,6,6,10,true,361,140,40,130,50,30,30,20,20,]
37,戦士mp,0,28,29,0,[,1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,true,361,0,10,10,10,10,10,10,10,]
38,戦士力,0,28,29,15,[,1,false,0,1,5,2,3,4,5,5,3,7,9,7,5,9,8,8,7,9,8,10,true,361,60,20,88,33,9,10,10,10,]
39,戦士すばやさ,0,28,29,3,[,1,false,0,0,2,1,1,1,2,2,0,0,0,3,2,3,2,0,0,2,1,10,true,361,20,10,10,5,10,5,5,0,]
40,戦士守り,0,28,29,15,[,1,false,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2,3,0,1,2,10,true,361,12,10,10,10,10,10,0,10,]
41,戦士かしこさ,0,28,29,0,[,1,false,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,10,true,361,5,5,5,5,5,5,5,10,]
42,戦士運,0,28,29,3,[,1,false,0,2,4,0,3,4,0,3,1,0,0,0,0,5,10,5,4,0,1,10,true,361,45,40,20,20,10,10,10,20,]
43,僧侶hp,0,28,29,30,[,1,false,0,2,3,1,2,2,4,4,2,6,5,7,8,6,8,10,8,12,1,10,true,361,71,95,25,6,13,9,10,10,]
44,僧侶mp,0,28,29,8,[,1,false,0,8,2,5,3,2,2,3,0,2,2,2,4,7,6,6,7,8,4,10,true,361,63,54,49,41,24,28,10,10,]
45,僧侶力,0,28,29,5,[,1,false,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,true,361,40,29,35,20,20,20,15,5,]
46,僧侶すばやさ,0,28,29,11,[,1,false,0,2,2,1,3,3,4,3,3,4,6,8,6,8,6,6,1,3,8,10,true,361,4,42,36,42,18,10,16,14,]
47,僧侶守り,0,28,29,5,[,1,false,0,1,1,1,1,1,2,1,1,1,1,1,0,0,2,1,1,1,1,10,true,361,7,20,28,6,16,27,17,6,]
48,僧侶かしこさ,0,28,29,10,[,1,false,0,3,4,2,3,4,4,4,3,2,0,5,0,4,2,5,5,2,8,10,true,361,62,50,38,20,30,30,40,20,]
49,僧侶運,0,28,29,5,[,1,false,0,0,1,0,1,0,0,1,1,1,0,0,0,3,0,0,2,2,2,10,true,361,12,19,32,38,35,15,20,10,]
50,会心率,0,28,29,8,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
51,回比率,0,28,29,16,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
52,命中率,0,28,29,256,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
53,王子会心率,0,28,29,0,[,32,false,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
54,王子回比率,0,28,29,0,[,32,false,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
55,王子命中率,0,28,29,224,[,32,false,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
56,会心率低,0,28,29,4,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
57,回比率特高,0,28,29,64,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
58,命中率高,0,28,29,272,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
59,命中率特高,0,28,29,288,[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]
