comment,種類,数値１,数値２,,魔力影響,運影響,,,
50,2,6,36,0,11,0,0,,闇魔法
51,2,7,16,0,0,0,0,0,火の粉
52,3,0,5,1,0,10,0,238,打撃眠り回復
53,3,0,8,1,0,10,0,44,打撃混乱回復
54,2,0,28,1,0,17,0,0,やくそう
55,2,0,26,1,16,0,0,0,いやしのつえ
56,2,12,29,0,11,0,1,0,MPダメージ中
57,2,12,30,0,11,0,1,0,MPダメージ大
58,1,17,1,0,0,0,0,77,1.5倍攻撃
59,3,0,10,0,0,0,0,51,炎息半
60,3,0,11,0,0,0,0,51,氷息半
61,3,0,12,0,0,0,0,51,ちからため
62,3,0,13,0,0,0,0,51,ちからため2.5
63,1,17,1,0,0,0,0,75,倍攻撃
64,3,15,1,0,20,19,7,59,一撃死
65,3,16,1,0,0,0,8,51,消滅
66,1,17,11,0,0,0,0,0,自爆
67,3,0,1,0,0,0,9,51,自爆後
68,3,14,6,0,0,6,0,51,呪文封じ弱
69,3,13,7,0,0,6,0,51,命中減短
70,3,11,8,0,0,6,0,51,混乱
71,3,0,9,0,0,0,0,51,呪文反射
72,4,12,19,0,0,6,63,73,かぶとわり守備減
73,3,13,7,0,0,6,10,51,命中減長
74,3,0,5,1,0,0,0,41,眠り回復
75,3,0,8,1,0,0,0,41,混乱回復
76,3,15,1,0,20,19,7,52,一撃死グループ
77,4,12,19,0,0,8,61,71,守備減50%
78,4,12,20,0,0,8,62,71,守備減75%
79,4,12,17,0,0,8,61,71,守備減25%全
80,4,12,59,0,0,8,62,71,守備減50%全
81,3,14,6,0,0,6,13,51,呪文封じ強
82,3,10,5,0,0,6,0,236,眠り弱
83,3,10,5,0,0,6,11,51,眠り強
84,2,7,37,0,0,0,0,0,炎小
85,2,7,38,0,0,0,0,0,炎中
86,2,7,39,0,0,0,0,0,炎大
87,2,8,40,0,0,0,0,0,氷小
88,2,8,41,0,0,0,0,0,氷中
89,2,8,42,0,0,0,0,0,氷大
90,3,13,14,0,0,0,0,51,攻撃減50%命中と同じ耐性
91,10,1,214,0,0,0,100,114,敵出現なし呪文
92,2,8,58,0,0,0,0,0,氷特大
93,11,6,10,0,0,0,0,0,毒沼無効
94,10,1,214,0,0,0,120,115,敵出現減なし道具
95,10,2,215,0,0,0,110,116,敵出現減少
96,4,0,19,1,0,0,70,71,すばやさ50%増
97,1,17,1,0,0,0,0,79,0.5倍攻撃
98,1,17,1,0,0,0,0,80,0.66倍攻撃
99,1,17,1,0,0,0,0,78,0.75倍攻撃
100,8,0,112,0,0,0,0,0,武器消滅スクリプト
101,3,19,1,0,0,6,12,52,浄化一撃必殺
102,2,19,56,0,0,0,0,0,浄化HP半分
103,7,0,50,1,0,0,0,0,成長HP
104,7,0,51,1,0,0,1,0,成長MP
105,7,0,52,1,0,0,2,0,成長ちから
106,7,0,52,1,0,0,3,0,成長すばやさ
107,7,0,52,1,0,0,4,0,成長まもり
108,7,0,52,1,0,0,5,0,成長まりょく
109,7,0,52,1,0,0,6,0,成長うん
110,11,11,10,0,0,0,0,0,バリア無効
111,1,18,10,0,0,0,0,,痛恨3
112,1,17,1,0,0,0,0,77,1.1倍攻撃
113,2,7,60,0,0,0,0,0,炎特大
114,3,9,3,0,0,6,0,59,ゼリー
115,3,0,6,1,0,0,0,41,封呪回復
116,1,0,11,1,0,0,0,79,使用者のHP1/2分回復
117,2,1,61,0,21,0,0,0,炎の杖
118,2,1,62,0,21,0,0,0,火炎の杖
119,3,0,16,0,0,0,0,41,無限４倍回避
120,3,0,17,0,0,0,0,41,無限ダメージ半減
121,3,0,15,0,0,0,14,41,無限攻撃倍
122,2,3,64,0,21,0,0,0,こおりのつるぎ
123,3,10,5,0,0,6,0,88,ねむりのつるぎ
124,2,0,65,1,16,0,0,0,げんきのつえ
125,4,12,19,0,0,6,63,71,ふんさいのメイス
126,2,6,66,0,21,0,0,0,やみのつえ
127,2,0,67,1,16,0,0,,しゅごのけんせいれいのたて
128,1,17,4,0,0,0,0,87,クリスタルソード
129,4,12,18,0,0,6,63,73,ふんさいのメイス守備減
130,2,4,68,0,21,0,0,0,かぜきりのたて
131,3,14,6,0,0,6,0,52,せいじゃくのたて
132,3,0,7,1,0,6,0,41,ひかるいし
133,3,0,18,0,0,0,0,51,うさぎのけん
134,1,17,1,0,0,0,0,89,1.2倍攻撃
135,3,11,8,0,0,6,0,54,混乱攻撃弱
136,2,5,79,0,0,0,0,0,いなずま
137,9,0,1,0,0,0,45,36,仲間呼びあばれいぬ
138,2,0,31,1,0,17,1,0,マジックライフ
139,2,0,19,1,0,17,1,0,マジカルパワー
140,2,0,82,0,0,0,0,0,1回復
141,3,10,5,0,0,6,0,55,眠りの剣
142,3,0,5,1,0,10,0,46,打撃眠り回復敵
143,3,0,7,1,0,0,0,41,暗闇回復
144,2,5,83,0,0,0,0,0,いなずま弱
