comment,id
\s[1]は　しんけいを　しゅうちゅうした！,81
\s[1]は　とつげきしてきた！,82
\s[1]は　いつもの　２ばいの\nちからで　こうげきしてきた！,83
\s[21],84
\s[22],85
\s[23],86
\s[24],87
\s[25],88
\s[26],89
\s[27],90
\s[3]は　\s[2]を\nおとしていった！,91
\s[1]は　\s[2]を　てにいれた！,92
仲間がいない！,93
\s[2]を　装備することは\nできません！,94
\s[29],95
\s[1]は　\s[2]を\nつかった！,96
\s[1]は　\s[2]を\n装備できない！,97
\s[1]は　\s[2]を\n身につけた！,98
\s[1]は　\s[2]を\nはずした！,99
\s[1]は　\s[2]を\n持ち替えた,100
\s[1]は　\s[2]を\n渡した,101
\s[2]と　\s[4]を\n交換した,102
\s[3]は　\s[2]を\nとった,103
\s[1]は　たおれているので\nぎのうを　つかえない。,104
\s[1]は　たおれているので\n\s[2]を　つかえない。,105
\s[1]は　\s[2]を\nつかえなかった！,106
ここには　扉がない！,107
\s[1]は　おもいっきり　飛んだ！,108
\s[1]は　おもいっきり\n飛ぼうとした！,109
……しかし　天井に　頭を\nぶつけそうなので　やめた！,110
\s[1]は　\s[2]を　ひらいた！,111
\s[1]は　\s[2]を　ひらいて\nなげこんだ！,112
\s[3]には　あたらなかった！,113
\s[1]は　\s[4]を\nてばなした!,114
\s[4]は　持っておいたほうが\nいい気がする！,115
しかし　\s[actor]は　これ以上\nどうぐを　もてない。\nなにか　捨てますか？,116
\s[2]の　かわりに\n捨てる　どうぐを　えらんでください。,117
なにか　捨てますか？,118
\s[4]を　捨てても\nいいですか？,119
持っておいたほうが　いい気がする！\nほかの　どうぐを　えらんでください。,120
\s[4]を　てばなし　\s[2]を\n手にいれた！,121
\s[actor]は　\s[2]を　あきらめた！,122
せんとうでは　やくにたたない！,123
しかし　\s[actor]は　これいじょう\nどうぐを　もてない。\nなにか　すてますか？,124
\s[2]の　かわりに\nすてる　どうぐを　えらんでください。,125
なにか　すてますか？,126
\s[4]を　すてても\nいいですか？,127
もっていたほうが　いいきがする！\nほかの　どうぐを　えらんでください。,128
\s[4]を　てばなし　\s[2]を\nてにいれた！,129
\s[actor]は　\s[2]を　あきらめた！,130
\s[1]は \s[2]に　いのった！,131
\s[1]は \s[2]を\nそうびすることができない！,132
\s[1]は　\s[2]を\nふりかざした！,133
\s[1]は　\s[2]を　ふりかざした！,134
\s[1]は　あまいいきを　はいた！,135
\s[1]は　くさいいきを　はいた！,136
\s[1]は　\s[2]を　まきちらした！,137
\s[1]は　ちからをためた！,138
\s[3]は　きりょくを　くらいつくされた！,139
\s[3]の　きりょくを　くらいつくした！,140
\s[3]を　どこかに　とばした！,141
\s[1]は　はじけとんだ！,142
\s[3]は　しょうてんした！,143
\s[3]は　ちからつきた！,144
\s[3]は　じゅもんを\nふうじこめられた！,145
\s[3]の　じゅもんを\nふうじこめた！,146
\s[3]は　すでに\nじゅもんを　ふうじこめられている！,147
\s[3]の　ふういんが　とけた！,148
\s[1]は　じゅもんを\nふうじこめられている！,149
\s[3]は　とばされなかった！,150
\s[1]は　すばやく　きりこんだ！,151
\s[1]は　とびあがり　こうげきした！,152
\s[3]は　くらやみに　つつまれた！,153
\s[3]は　くらやみに　つつまれた！,154
\s[3]は　すでに　くらやみだ！,155
\s[3]の　くらやみが　はれた！,156
\s[1]は　でんじは　をはなった！,157
\s[3]は　こんらんした！,158
\s[3]を　こんらんさせた！,159
\s[3]は　すでに　こんらんしている！,160
\s[3]は　しょうきに　もどった！,161
\s[3]は　こんらんしている！,162
\s[1]は　やりを　かいてんさせた！,163
くうかんが　ゆがむ！,164
\s[3]の　すべてのこうかが　きえた！,165
\s[3]の　まえに\nひかりのかべが　あらわれた！,166
\s[3]の　まえに\nひかりのかべが　あらわれた！,167
しかし　なにもおこらなかった！,168
\s[1]の　ひかりのかべが　きえた！,169
\s[3]は　じゅもんを　はねかえした！,170
\s[1]は　みみをかいてんさせ\nつめたいくうきを　はっせいさせた！,171
\s[3]は　つめたいくうきに　つつまれた！,172
\s[3]は　すでに　つめたいくうきを\nまとっている！,173
\s[3]の　つめたいくうきが　きえた!,174
\s[1]は　あばれまわった！,175
\s[1]は　\s[2]を　はいた！,176
\s[1]は　れんぞくで　パンチを\nはなってきた！,177
\s[1]は　\s[2]で　みつめた！,178
\s[3]の　こうげきりょくを　さげた！,179
\s[3]は　すでに　ふぬけている！,180
\s[3]の　こうげきりょくが　もとにもどった！,181
\s[3]の　こうげきりょくが　あがった！,182
\s[3]の　こうげきりょくは　あがらなかった！,183
\s[1]は　しんくうのやいばを　はなった！,184
\s[1]は　かいてんしながら　とびこんだ！,185
\s[1]は　かろやかに　ステップを　ふんだ！,186
\s[1]は　からだをふるわせ\nあたたかいくうきを　はっせいさせた！,187
\s[3]は　あたたかいくうきに　つつまれた！,188
\s[3]は　すでに　あたたかいくうきを\nまとっている！,189
\s[3]の　あたたかいくうきが　きえた!,190
\s[1]は　\s[2]の　かぎあなを　さがした！,191
せんとうちゅうだぞ！！,192
なんと　\s[3]の　けんを\nどこかにとばした！,193
\s[1]は　\s[2]を　まきおこした！,194
ほのおが　ほとばしる！,195
かえんが　まきおこる！,196
\s[3]の　からだが　かるくなった！,197
\s[3]は　バリアで　おおわれた！,198
\s[1]は　\s[2]を　てんに　かかげた！,199
\s[1]は　\s[2]を\nすいへいに　はらった！,200
\s[1]は　\s[2]に　まりょくをこめた！,201
はげしい　ふぶきが　まきおこる！,202
しずかで　あたたかい　くうきが\nながれだす！,203
おもい　きりが　ながれだす！,204
はかいの　ちからが　あばれだす！,205
やさしい　ひかりが　おりてくる！,206
あおい　ひかりのやいばが　とんでいく！,207
かぜのやいばが　あれくるう！,208
ふういんの　ちからが　ながれた！,209
くらやみを　ひかりが　てらす！,210
きせきの　ちからが　まいおりる！,211
\s[1]は　\s[2]を\nてんに　かかげた！,212
\s[3]は　ちからが　みなぎった！,213
\s[1]の　みなぎる　ちからが　きえた！,214
\s[1]は　そらから　すばやく\nこうげきした！,215
\s[1]は　\s[2]を　よびよせた！,216
かがやく　ひかりが　かたまっていく！,217
,218
,219
,220
,221
,222
,223
,224
,225
,226
,227
,228
,229
,230
,231
,232
,233
,234
,235
,236
,237
,238
,239
,240
,241
,242
,243
,244
,245
,246
,247
,248
,249
,250
,251
,252
,253
,254
,255
,256
,257
,258
,259
\s[1]は　\s[2]を　となえようとした！,260
\s[2]を　消してもいいですか？,261
中断データがあります。\n中断のつづきから　はじめますか？,262
この日記は　こわれています。\n削除してください。,263
,264
,265
,266
,267
,268
,269
,270
中断してゲームを　終了しますか？,271
中断しました。　このままゲームを\nしゅうりょう　してください。,272
中断データを作成しました。\nこのままゲームを\n続けることが　できます。,273
,274
,275
,276
,277
,278
,279
,280
セーブしますか？,281
セーブしました！,282
セーブに失敗しました！,283
やめました！,284
ロードますか？,285
ロードしました！,286
ロード失敗しました！,287
やめました！,288
使用しているフラグが\nありません！,289
使用している変数が\nありません！,290
使用しているスロットが\nありません！,291
,292
,293
,294
,295
,296
,297
,298
,299
,300
