comment,,画像名,使用画像範囲,,,,性別,種族,レベル,知能Id,地面からの距離,パラメーター,mhp,mmp,str,agi,res,wiz,luk,,,会心,回避,命中,,属性守備力,混乱時行動,行動回数,経験値,ゴールド,落とすどうぐ,,,,,道具入手率,パターンリストid,HP補正,MP補正
58,シルバーミスト,pipo-enemy027b.png,10,48,100,72,3,5,20,2,0,[,71,-1,96,31,10,12,0,],[,0,0,256,],168,24,0,129,43,[,1,62,,],204,58,48,0
59,ドラゴン,pipo-enemy021.png,0,0,120,120,3,16,25,2,0,[,184,0,179,62,132,116,23,],[,0,0,256,],169,24,76,256,70,[,1,63,,],204,59,49,0
60,ウインドフェザー,pipo-enemy022b.png,10,0,100,120,3,3,24,2,0,[,98,34,134,82,42,14,0,],[,0,0,256,],170,24,0,179,92,[,3,37,,],205,60,48,0
61,オーガ,pipo-enemy015.png,3,15,111,105,3,10,23,1,0,[,180,0,194,33,108,0,21,],[,0,0,256,],171,24,0,219,60,[,3,30,,],204,61,49,0
62,リトルシェイド,pipo-enemy040b.png,12,25,96,95,3,14,23,11,0,[,90,120,100,60,84,119,0,],[,0,0,256,],172,24,0,157,91,[,3,35,,],205,62,48,0
63,おしろいばな,pipo-enemy007b.png,18,34,84,86,3,9,22,13,0,[,86,20,105,25,16,0,0,],[,0,32,256,],173,24,0,119,21,[,1,2,5,],204,63,48,0
64,けまり,pipo-enemy031a.png,27,45,67,75,3,2,24,5,0,[,105,15,133,48,70,10,32,],[,0,0,256,],174,24,0,130,61,[,1,61,,],205,64,48,0
65,かえんバード,pipo-enemy036a.png,20,50,80,70,3,3,25,2,0,[,291,12,92,20,86,5,18,],[,0,0,256,],175,24,74,212,51,[,4,67,,],205,65,48,0
66,ヒートぴよ,pipo-enemy035a.png,40,74,40,46,3,3,22,5,0,[,32,6,28,121,4,1,5,],[,0,16,256,],176,24,0,41,5,[,1,3,,],204,66,50,0
67,ならずもの,pipo-enemy018.png,16,15,80,105,3,1,27,5,0,[,150,14,155,44,120,5,13,],[,0,0,256,],177,24,0,180,40,[,1,2,,],204,67,48,0
68,そせいし,pipo-enemy025a.png,0,20,120,100,3,1,29,4,0,[,107,255,100,52,80,176,13,],[,0,0,256,],178,24,0,242,110,[,1,5,19,],205,68,48,0
69,しろくまん,pipo-enemy037b.png,5,15,110,105,3,2,28,12,0,[,265,0,220,56,140,0,18,],[,0,0,256,],179,24,0,240,25,[,1,2,,],204,69,49,0
70,ポイズンミスト,pipo-enemy029b.png,16,10,88,110,3,7,28,13,0,[,99,-1,116,88,10,56,0,],[,0,16,256,],180,24,0,222,30,[,2,15,97,],205,70,48,0
71,ワームホール,pipo-enemy042b.png,0,40,120,80,3,15,29,1,0,[,250,40,180,8,55,43,0,],[,0,0,256,],181,24,0,380,110,[,4,41,37,],204,71,48,0
72,ハイカー,pipo-enemy018b.png,16,15,80,105,3,1,28,3,0,[,110,50,162,52,92,20,20,],[,0,0,256,],182,24,0,221,104,[,1,6,,],203,72,48,0
73,グレートデーモン,pipo-enemy024b.png,14,8,94,112,3,14,29,3,0,[,280,102,181,64,152,62,12,],[,0,0,256,],183,24,76,323,110,[,8,9,65,],205,73,48,0
74,あおおに,pipo-enemy019a.png,3,0,114,120,3,10,28,2,0,[,160,0,201,55,140,0,34,],[,0,0,256,],184,24,0,283,50,[,1,16,45,],205,74,48,0
75,げんききのこ,pipo-enemy008a.png,29,48,62,72,3,6,27,6,0,[,91,-1,30,81,0,42,0,],[,0,32,256,],185,24,0,81,36,[,27,5,40,],205,75,0,0
76,ピュアペタル,pipo-enemy005b.png,30,20,60,100,3,13,22,3,0,[,120,-1,95,45,50,0,0,],[,0,64,256,],186,24,0,149,98,[,1,7,20,],204,76,49,0
77,しゅごしゃ,pipo-enemy033a.png,0,20,120,100,3,11,,3,0,[,350,30,250,25,130,17,62,],[,0,0,256,],187,24,0,399,112,[,28,18,77,],206,77,50,0
78,りゅうじん,pipo-enemy021b.png,0,0,120,120,3,16,30,2,0,[,200,200,180,86,90,183,132,],[,0,0,256,],188,24,74,355,140,[,9,15,61,],206,78,48,0
79,ゲイザー,pipo-enemy020b.png,12,0,92,120,3,10,30,2,0,[,102,-1,120,102,10,116,2,],[,0,0,256,],189,24,0,198,60,[,1,17,44,],206,79,49,0
80,もりびと,pipo-enemy041a.png,20,32,80,88,3,1,31,3,0,[,240,66,190,95,113,153,88,],[,0,0,256,],190,24,0,436,150,[,9,14,88,],206,80,48,0
81,ゴーレム,pipo-enemy033.png,0,40,240,200,3,11,15,3,0,[,210,0,80,20,85,0,0,],[,0,0,256,],191,24,0,150,100,[,14,28,,],201,81,47,0
82,ばんけん,pipo-enemy023b.png,5,30,230,210,3,2,25,2,0,[,450,0,120,20,100,18,22,],[,0,8,256,],192,24,75,1800,124,[,17,75,,],201,82,47,0
83,こうらバード,pipo-enemy036b.png,35,100,170,140,3,3,29,1,0,[,1265,-1,230,10,210,150,46,],[,0,0,256,],193,24,74,4500,34,[,16,97,,],201,83,47,0
84,クリスタルキング,pipo-enemy026b.png,0,10,240,230,3,1,32,3,0,[,500,255,300,60,400,33,77,],[,0,0,288,],194,24,74,10500,1000,[,18,85,,],202,84,47,0
85,クリスタルキング,pipo-enemy026b_hand.png,0,10,240,230,3,1,32,3,0,[,500,255,150,100,400,33,0,],[,0,0,304,],195,24,74,10500,1000,[,18,85,,],201,85,50,0
86,うさぎのかみ,usagod_enemy.png,0,0,252,250,3,0,50,4,-30,[,4000,-1,270,120,180,270,100,],[,0,0,256,],196,24,44,0,0,[,0,0,,],0,86,0,0
87,かべ,usagod_enemy.png,0,0,252,250,3,0,90,1,-30,[,10000,-1,80,200,100,0,0,],[,0,0,256,],111,24,0,0,0,[,83,28,,],203,87,0,0
88,かべしょう,pipo-enemy034.png,35,60,60,60,3,1,1,1,0,[,300,0,20,0,100,0,150,],[,0,0,256,],111,24,0,1,1,[,1,2,,],0,87,0,0
89,なかまよぶやつ,pipo-enemy035.png,40,74,40,46,3,1,1,1,0,[,1,0,0,100,0,0,0,],[,0,0,256,],199,24,0,1,1,[,1,2,,],0,89,0,0
90,そせいし,pipo-enemy025a.png,0,20,120,100,3,1,1,4,0,[,10,999,0,30,0,0,0,],[,0,0,256,],199,24,0,1,1,[,1,2,,],0,90,0,0
